City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,50.0,69,75,18.34,AR,1587239810
1,victoria,22.29,114.16,75.0,88,33,8.01,HK,1587240323
2,chuy,-33.7,-53.46,66.63,82,18,7.23,UY,1587240487
3,rio gallegos,-51.62,-69.22,60.8,51,75,20.8,AR,1587240086
4,mar del plata,-38,-57.56,75.2,50,1,16.11,AR,1587240201
5,bluff,-46.6,168.33,43.0,91,100,5.01,NZ,1587240487
6,bubaque,11.28,-15.83,79.66,70,100,20.27,GW,1587240400
7,vaini,-21.2,-175.2,77.0,83,40,10.29,TO,1587240488
8,airai,-8.93,125.41,59.76,56,44,2.86,TL,1587240488
9,mataura,-46.19,168.86,43.0,91,100,5.01,NZ,1587240375
10,port blair,11.67,92.75,83.44,73,29,4.43,IN,1587240433
12,kruisfontein,-34,24.73,65.19,43,0,6.08,ZA,1587240488
13,yicheng,31.37,119.87,57.99,81,100,7.49,CN,1587240489
14,tiznit,29.58,-9.5,58.08,64,82,9.26,MA,1587240489
15,ponta delgada,37.73,-25.67,62.6,88,40,12.75,PT,1587240489
16,hilo,19.73,-155.09,80.6,44,1,3.36,US,1587240490
17,zaysan,47.47,84.87,52.09,40,98,3.24,KZ,1587240490
18,eirunepe,-6.66,-69.87,87.12,50,12,3.67,BR,1587240490
19,nikolskoye,59.7,30.79,37.4,91,90,13.42,RU,1587240490
20,port alfred,-33.59,26.89,64.99,95,0,4,ZA,1587240491
21,pithoragarh,29.58,80.22,54.5,38,4,3.4,IN,1587240491
22,bengkulu,-3.8,102.27,76.73,85,100,4.03,ID,1587240491
23,barrow,71.29,-156.79,-2.2,77,1,10.29,US,1587240492
25,antsohihy,-14.88,47.99,76.93,70,39,7.54,MG,1587240492
26,bethel,41.37,-73.41,43.0,80,90,9.17,US,1587240492
27,cape town,-33.93,18.42,66.99,72,91,3.36,ZA,1587240492
28,puerto ayora,-0.74,-90.35,86.0,70,75,13.87,EC,1587240493
29,dikson,73.51,80.55,35.24,89,100,19.1,RU,1587240493
30,khatanga,71.97,102.5,9.54,93,0,5.06,RU,1587240493
31,nautla,20.22,-96.78,85.23,72,47,6.06,MX,1587240493
33,hervey bay,-25.3,152.85,73.99,100,75,4.7,AU,1587240494
34,saint-philippe,-21.36,55.77,77.0,78,20,17.22,RE,1587240087
35,hovd,48.01,91.64,33.98,41,0,2.66,MN,1587240494
36,jamestown,42.1,-79.24,44.01,48,75,13.87,US,1587240218
37,madison,34.73,-86.57,60.01,54,1,5.82,US,1587240269
38,nanortalik,60.14,-45.24,29.5,91,82,3.91,GL,1587240494
39,mongar,27.27,91.24,53.85,51,84,1.39,BT,1587240366
40,guerrero negro,27.98,-114.06,66.88,54,0,20.78,MX,1587240446
41,rikitea,-23.12,-134.97,77.09,73,18,7.54,PF,1587240495
